,antecedents,consequents,support,lift
0,frozenset({'Android_Rise_14_oz_Mug'}),frozenset({'Windup_Android'}),0.156,1.0
1,frozenset({'Windup_Android'}),frozenset({'Android_Rise_14_oz_Mug'}),0.156,1.0
0,frozenset({'Leatherette_Journal'}),frozenset({'Google_Ballpoint_Pen_Black'}),0.208955223880597,1.0
1,frozenset({'Google_Ballpoint_Pen_Black'}),frozenset({'Leatherette_Journal'}),0.208955223880597,1.0
2,frozenset({'Google_Ballpoint_Pen_Black'}),frozenset({'Color_Changing_Grip_Pen'}),0.19402985074626866,1.0
3,frozenset({'Color_Changing_Grip_Pen'}),frozenset({'Google_Ballpoint_Pen_Black'}),0.19402985074626866,1.0
4,frozenset({'Google_Ballpoint_Pen_Black'}),frozenset({'Maze_Pen'}),0.19402985074626866,1.0
5,frozenset({'Maze_Pen'}),frozenset({'Google_Ballpoint_Pen_Black'}),0.19402985074626866,1.0
0,frozenset({'YouTube_Custom_Decals'}),frozenset({'YouTube_Twill_Cap'}),0.18681318681318682,1.0
1,frozenset({'YouTube_Twill_Cap'}),frozenset({'YouTube_Custom_Decals'}),0.18681318681318682,1.0
0,frozenset({'Ballpoint_LED_Light_Pen'}),frozenset({'Four_Color_Retractable_Pen'}),0.19285714285714287,1.0
1,frozenset({'Four_Color_Retractable_Pen'}),frozenset({'Ballpoint_LED_Light_Pen'}),0.19285714285714287,1.0
2,frozenset({'Ballpoint_LED_Light_Pen'}),frozenset({'Google_22_oz_Water_Bottle'}),0.16428571428571428,1.0
3,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Ballpoint_LED_Light_Pen'}),0.16428571428571428,1.0
0,frozenset({'Google_Sunglasses'}),frozenset({'Google_Kick_Ball'}),0.2313167259786477,1.0
1,frozenset({'Google_Kick_Ball'}),frozenset({'Google_Sunglasses'}),0.2313167259786477,1.0
2,frozenset({'Google_Kick_Ball'}),frozenset({'Google_22_oz_Water_Bottle'}),0.2277580071174377,1.0
3,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Kick_Ball'}),0.2277580071174377,1.0
4,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Google_Kick_Ball'}),0.18149466192170818,1.0
5,frozenset({'Google_Kick_Ball'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.18149466192170818,1.0
0,frozenset({'YouTube_Hard_Cover_Journal'}),frozenset({'Google_Hard_Cover_Journal'}),0.2459016393442623,1.0
1,frozenset({'Google_Hard_Cover_Journal'}),frozenset({'YouTube_Hard_Cover_Journal'}),0.2459016393442623,1.0
0,frozenset({'Google_Sunglasses'}),frozenset({'Foam_Can_and_Bottle_Cooler'}),0.1815068493150685,1.0
1,frozenset({'Foam_Can_and_Bottle_Cooler'}),frozenset({'Google_Sunglasses'}),0.1815068493150685,1.0
2,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Foam_Can_and_Bottle_Cooler'}),0.1541095890410959,1.0
3,frozenset({'Foam_Can_and_Bottle_Cooler'}),frozenset({'Google_22_oz_Water_Bottle'}),0.1541095890410959,1.0
0,frozenset({'Google_Stylus_Pen_w/_LED_Light'}),frozenset({'Google_22_oz_Water_Bottle'}),0.19889502762430938,1.0
1,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Google_Stylus_Pen_w/_LED_Light'}),0.19889502762430938,1.0
2,frozenset({'Google_Stylus_Pen_w/_LED_Light'}),frozenset({'Google_Metallic_Notebook_Set'}),0.15469613259668508,1.0
3,frozenset({'Google_Metallic_Notebook_Set'}),frozenset({'Google_Stylus_Pen_w/_LED_Light'}),0.15469613259668508,1.0
0,frozenset({'Nest_Protect_Smoke_+_CO_White_Wired_Alarm-USA'}),frozenset({'Nest_Learning_Thermostat_3rd_Gen-USA_-_Stainless_Steel'}),0.1699530516431925,1.0
1,frozenset({'Nest_Learning_Thermostat_3rd_Gen-USA_-_Stainless_Steel'}),frozenset({'Nest_Protect_Smoke_+_CO_White_Wired_Alarm-USA'}),0.1699530516431925,1.0
0,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'YouTube_Custom_Decals'}),0.3198090692124105,1.0
1,frozenset({'YouTube_Custom_Decals'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.3198090692124105,1.0
0,frozenset({'YouTube_Custom_Decals'}),frozenset({'YouTube_Leatherette_Notebook_Combo'}),0.3333333333333333,1.0
1,frozenset({'YouTube_Leatherette_Notebook_Combo'}),frozenset({'YouTube_Custom_Decals'}),0.3333333333333333,1.0
2,frozenset({'24_oz_YouTube_Sergeant_Stripe_Bottle'}),frozenset({'YouTube_Leatherette_Notebook_Combo'}),0.1984126984126984,1.0
3,frozenset({'YouTube_Leatherette_Notebook_Combo'}),frozenset({'24_oz_YouTube_Sergeant_Stripe_Bottle'}),0.1984126984126984,1.0
0,frozenset({'Maze_Pen'}),frozenset({'Color_Changing_Grip_Pen'}),0.2441860465116279,1.0
1,frozenset({'Color_Changing_Grip_Pen'}),frozenset({'Maze_Pen'}),0.2441860465116279,1.0
2,frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),frozenset({'Color_Changing_Grip_Pen'}),0.23255813953488372,1.0
3,frozenset({'Color_Changing_Grip_Pen'}),frozenset({'Google_Laptop_and_Cell_Phone_Stickers'}),0.23255813953488372,1.0
4,frozenset({'Google_22_oz_Water_Bottle'}),frozenset({'Color_Changing_Grip_Pen'}),0.22093023255813954,1.0
5,frozenset({'Color_Changing_Grip_Pen'}),frozenset({'Google_22_oz_Water_Bottle'}),0.22093023255813954,1.0
